model,policy,description,approve_threshold,decline_threshold,n,auto_approve_count,manual_review_count,auto_decline_count,auto_approval_rate,manual_review_rate,auto_decline_rate,high_risk_rate_among_approved,high_risk_approval_rate,good_borrower_auto_decline_rate,approved_good_count,approved_high_risk_count,declined_good_count,declined_high_risk_count,expected_profit_auto_approved_total,expected_profit_per_applicant,expected_profit_per_auto_approved
Logistic Regression,lender_protective,Strict risk control; many applicants move to review or decline.,0.15,0.5,1000,127,265,608,0.127,0.265,0.608,0.5591,0.0927,0.2692,56,71,63,545,-251076.4079,-251.0764,-1976.9796
Logistic Regression,balanced_review,Middle policy with a substantial manual-review band.,0.35,0.7,1000,278,243,479,0.278,0.243,0.479,0.5683,0.2063,0.0043,120,158,1,478,-575866.684,-575.8667,-2071.4629
Logistic Regression,inclusion_first,Higher access; only very high-risk applicants are auto-declined.,0.5,0.85,1000,392,270,338,0.392,0.27,0.338,0.5638,0.2885,0.0,171,221,0,338,-810609.1559,-810.6092,-2067.8805
Logistic Regression,starter_loan_review,Small-starter-loan posture with wide review before decline.,0.25,0.8,1000,239,394,367,0.239,0.394,0.367,0.5523,0.1723,0.0,107,132,0,367,-465579.7776,-465.5798,-1948.0325
